Player_Id,Year,Team,Games_Played,Attempts,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Rushes_Over_Twenty_Yards,Rushes_Over_Forty_Yards,Fumbles
billy-atkins,1964,DenverBroncos,3,0,0,0,0,0,0,0,0,0,0
billy-atkins,TOTAL,--,63,5,139,27.8,0,1,0,0,0,0,0
bob-adams,1969,PittsburghSteelers,14,0,0,0,0,0,0,0,0,0,0
bob-adams,1970,PittsburghSteelers,14,0,0,0,0,0,0,0,0,0,0
bob-adams,1971,PittsburghSteelers,14,0,0,0,0,0,0,0,0,0,0
bob-adams,1973,NewEnglandPatriots,12,2,7,3.5,0,0,0,0,0,0,0
bob-adams,1974,NewEnglandPatriots,13,0,0,0,0,0,0,0,0,0,0
bob-adams,1975,DenverBroncos,2,0,0,0,0,0,0,0,0,0,0
bob-adams,1976,AtlantaFalcons,13,0,0,0,0,0,0,0,0,0,0
bob-adams,TOTAL,--,82,2,7,3.5,0,0,0,0,0,0,0
bob-adkins,1940,GreenBayPackers,10,1,5,5,0,0,0,0,0,0,0
bob-adkins,1941,GreenBayPackers,6,0,0,0,0,0,0,0,0,0,0
bob-adkins,1945,GreenBayPackers,4,0,0,0,0,0,0,0,0,0,0
bob-adkins,TOTAL,--,20,1,5,5,0,0,0,0,0,0,0
bob-agler,1948,LosAngelesRams,8,8,41,5.1,0,0,0,0,0,0,0
bob-agler,1949,LosAngelesRams,8,4,7,1.8,0,0,0,0,0,0,0
bob-agler,TOTAL,--,16,12,48,4,0,0,0,0,0,0,0
bob-anderson,1963,NewYorkGiants,1,1,-2,-2,0,0,0,0,0,0,0
bob-anderson,TOTAL,--,1,1,-2,-2,0,0,0,0,0,0,0
bob-argus,1920,RochesterJeffersons,10,0,0,0,0,6,0,0,0,0,0
bob-argus,1921,RochesterJeffersons,5,0,0,0,0,0,0,0,0,0,0
bob-argus,1922,RochesterJeffersons,5,0,0,0,0,1,0,0,0,0,0
bob-argus,1923,RochesterJeffersons,4,0,0,0,0,0,0,0,0,0,0
